"country","species","indoor_host","outdoor_host","combined_host","host_unit","indoor_biting","outdoor_biting","indoor_outdoor_biting_units","combined_1830_2130","combined_2130_0030","combined_0030_0330","combined_0330_0630","citation"
"Indonesia","Anopheles aconitus",NA,NA,NA,"",19.4,80.6,"%","","","","","Stoops, C.A., Rusmiarto, S., Susapto, D., Munif, A., Andris, H., Barbara, K.A. and Sukowati, S. (2009).  Bionomics of Anopheles spp. (Diptera: Culicidae) in a malaria endemic region of Sukabumi, West Java, Indonesia. Journal of Vector Ecology, 34(2):200-207"
"Indonesia","Anopheles annularis complex",NA,NA,NA,"",11.1,88.9,"%","","","","","Stoops, C.A., Rusmiarto, S., Susapto, D., Munif, A., Andris, H., Barbara, K.A. and Sukowati, S. (2009).  Bionomics of Anopheles spp. (Diptera: Culicidae) in a malaria endemic region of Sukabumi, West Java, Indonesia. Journal of Vector Ecology, 34(2):200-207"
"Indonesia","Anopheles barbirostris",NA,NA,NA,"",6.4,93.6,"%","","","","","Stoops, C.A., Rusmiarto, S., Susapto, D., Munif, A., Andris, H., Barbara, K.A. and Sukowati, S. (2009).  Bionomics of Anopheles spp. (Diptera: Culicidae) in a malaria endemic region of Sukabumi, West Java, Indonesia. Journal of Vector Ecology, 34(2):200-207"
"Indonesia","Anopheles flavirostris",NA,NA,NA,"",17.4,82.6,"%","","","","","Stoops, C.A., Rusmiarto, S., Susapto, D., Munif, A., Andris, H., Barbara, K.A. and Sukowati, S. (2009).  Bionomics of Anopheles spp. (Diptera: Culicidae) in a malaria endemic region of Sukabumi, West Java, Indonesia. Journal of Vector Ecology, 34(2):200-207"
"Indonesia","Anopheles maculatus",NA,NA,NA,"",9.4,90.6,"%","","","","","Stoops, C.A., Rusmiarto, S., Susapto, D., Munif, A., Andris, H., Barbara, K.A. and Sukowati, S. (2009).  Bionomics of Anopheles spp. (Diptera: Culicidae) in a malaria endemic region of Sukabumi, West Java, Indonesia. Journal of Vector Ecology, 34(2):200-207"
"Indonesia","Anopheles minimus complex",NA,NA,NA,"",0,100,"%","","","","","Stoops, C.A., Rusmiarto, S., Susapto, D., Munif, A., Andris, H., Barbara, K.A. and Sukowati, S. (2009).  Bionomics of Anopheles spp. (Diptera: Culicidae) in a malaria endemic region of Sukabumi, West Java, Indonesia. Journal of Vector Ecology, 34(2):200-207"
"Indonesia","Anopheles aconitus",NA,NA,NA,"",59.1,40.9,"%","","","","","Stoops, C.A., Rusmiarto, S., Susapto, D., Munif, A., Andris, H., Barbara, K.A. and Sukowati, S. (2009).  Bionomics of Anopheles spp. (Diptera: Culicidae) in a malaria endemic region of Sukabumi, West Java, Indonesia. Journal of Vector Ecology, 34(2):200-207"
"Indonesia","Anopheles annularis complex",NA,NA,NA,"",47.1,52.9,"%","","","","","Stoops, C.A., Rusmiarto, S., Susapto, D., Munif, A., Andris, H., Barbara, K.A. and Sukowati, S. (2009).  Bionomics of Anopheles spp. (Diptera: Culicidae) in a malaria endemic region of Sukabumi, West Java, Indonesia. Journal of Vector Ecology, 34(2):200-207"
"Indonesia","Anopheles barbirostris",NA,NA,NA,"",27.9,72.1,"%","","","","","Stoops, C.A., Rusmiarto, S., Susapto, D., Munif, A., Andris, H., Barbara, K.A. and Sukowati, S. (2009).  Bionomics of Anopheles spp. (Diptera: Culicidae) in a malaria endemic region of Sukabumi, West Java, Indonesia. Journal of Vector Ecology, 34(2):200-207"
"Indonesia","Anopheles flavirostris",NA,NA,NA,"",43.8,56.3,"%","","","","","Stoops, C.A., Rusmiarto, S., Susapto, D., Munif, A., Andris, H., Barbara, K.A. and Sukowati, S. (2009).  Bionomics of Anopheles spp. (Diptera: Culicidae) in a malaria endemic region of Sukabumi, West Java, Indonesia. Journal of Vector Ecology, 34(2):200-207"
"Indonesia","Anopheles maculatus",NA,NA,NA,"",46.2,53.8,"%","","","","","Stoops, C.A., Rusmiarto, S., Susapto, D., Munif, A., Andris, H., Barbara, K.A. and Sukowati, S. (2009).  Bionomics of Anopheles spp. (Diptera: Culicidae) in a malaria endemic region of Sukabumi, West Java, Indonesia. Journal of Vector Ecology, 34(2):200-207"
"Indonesia","Anopheles subpictus complex",NA,NA,NA,"",60,40,"%","","","","","Stoops, C.A., Rusmiarto, S., Susapto, D., Munif, A., Andris, H., Barbara, K.A. and Sukowati, S. (2009).  Bionomics of Anopheles spp. (Diptera: Culicidae) in a malaria endemic region of Sukabumi, West Java, Indonesia. Journal of Vector Ecology, 34(2):200-207"
"Indonesia","Anopheles sundaicus",NA,NA,NA,"",26,73.9,"%","","","","","Stoops, C.A., Rusmiarto, S., Susapto, D., Munif, A., Andris, H., Barbara, K.A. and Sukowati, S. (2009).  Bionomics of Anopheles spp. (Diptera: Culicidae) in a malaria endemic region of Sukabumi, West Java, Indonesia. Journal of Vector Ecology, 34(2):200-207"
"India","Anopheles aconitus",NA,NA,NA,"",4.38,95.63,"%calc","","","","","Dutta, P., Bhattacharyya, D.R. and Dutta, L.P. (1991).  Epidemiological observations on malaria in some parts of Tengakhat PHC, Dibrugarh district, Assam. Indian Journal of Malariology, 28(2):121-8"
"India","Anopheles annularis complex",NA,NA,NA,"",0,100,"%calc","","","","","Dutta, P., Bhattacharyya, D.R. and Dutta, L.P. (1991).  Epidemiological observations on malaria in some parts of Tengakhat PHC, Dibrugarh district, Assam. Indian Journal of Malariology, 28(2):121-8"
"India","Anopheles barbirostris complex",NA,NA,NA,"",2.17,97.83,"%calc","","","","","Dutta, P., Bhattacharyya, D.R. and Dutta, L.P. (1991).  Epidemiological observations on malaria in some parts of Tengakhat PHC, Dibrugarh district, Assam. Indian Journal of Malariology, 28(2):121-8"
"India","Anopheles balabacensis (leucosphyrus)",NA,NA,NA,"",72.31,27.69,"%calc","","","","","Dutta, P., Bhattacharyya, D.R. and Dutta, L.P. (1991).  Epidemiological observations on malaria in some parts of Tengakhat PHC, Dibrugarh district, Assam. Indian Journal of Malariology, 28(2):121-8"
"India","Anopheles culicifacies complex",NA,NA,NA,"",100,0,"%calc","","","","","Dutta, P., Bhattacharyya, D.R. and Dutta, L.P. (1991).  Epidemiological observations on malaria in some parts of Tengakhat PHC, Dibrugarh district, Assam. Indian Journal of Malariology, 28(2):121-8"
"India","Maculatus Group",NA,NA,NA,"",3.13,96.88,"%calc","","","","","Dutta, P., Bhattacharyya, D.R. and Dutta, L.P. (1991).  Epidemiological observations on malaria in some parts of Tengakhat PHC, Dibrugarh district, Assam. Indian Journal of Malariology, 28(2):121-8"
"India","Anopheles minimus complex",NA,NA,NA,"",4.23,95.77,"%calc","","","","","Dutta, P., Bhattacharyya, D.R. and Dutta, L.P. (1991).  Epidemiological observations on malaria in some parts of Tengakhat PHC, Dibrugarh district, Assam. Indian Journal of Malariology, 28(2):121-8"
"Malaysia","Anopheles balabacensis (leucosphyrus)",NA,NA,NA,"",24.04,75.96,"%","","","","","Vythilingam, I., Chan, S.T., Shanmugratnam, C., Tanrang, H. and Chooi, K.H. (2005).  The impact of development and malaria control activities on its vectors in the Kinabatangan area of Sabah, East Malaysia. Acta Tropica, 96(1):24-30"
"Malaysia","Maculatus Group",NA,NA,NA,"",11.11,88.89,"%","","","","","Vythilingam, I., Chan, S.T., Shanmugratnam, C., Tanrang, H. and Chooi, K.H. (2005).  The impact of development and malaria control activities on its vectors in the Kinabatangan area of Sabah, East Malaysia. Acta Tropica, 96(1):24-30"
"Malaysia","Anopheles aconitus",NA,NA,NA,"",1,1.97,"I:O","","","","","Hassan, A.A., Rahman, W.A., Rashid, M.Z., Shahrem, M.R. and Adanan, C.R. (2001).  Composition and biting activity of Anopheles (Diptera: Culicidae) attracted to human bait in a malaria endemic village in peninsular Malaysia near the Thailand border. Journal of Vector Ecology, 26(1):70-5"
"Malaysia","Anopheles barbirostris complex",NA,NA,NA,"",1,0.62,"I:O","","","","","Hassan, A.A., Rahman, W.A., Rashid, M.Z., Shahrem, M.R. and Adanan, C.R. (2001).  Composition and biting activity of Anopheles (Diptera: Culicidae) attracted to human bait in a malaria endemic village in peninsular Malaysia near the Thailand border. Journal of Vector Ecology, 26(1):70-5"
"Malaysia","Maculatus Group",NA,NA,NA,"",1,2.68,"I:O","","","","","Hassan, A.A., Rahman, W.A., Rashid, M.Z., Shahrem, M.R. and Adanan, C.R. (2001).  Composition and biting activity of Anopheles (Diptera: Culicidae) attracted to human bait in a malaria endemic village in peninsular Malaysia near the Thailand border. Journal of Vector Ecology, 26(1):70-5"
"Malaysia","Anopheles sinensis",NA,NA,NA,"",1,2.76,"I:O","","","","","Hassan, A.A., Rahman, W.A., Rashid, M.Z., Shahrem, M.R. and Adanan, C.R. (2001).  Composition and biting activity of Anopheles (Diptera: Culicidae) attracted to human bait in a malaria endemic village in peninsular Malaysia near the Thailand border. Journal of Vector Ecology, 26(1):70-5"
"Myanmar","Anopheles baimaii (formerly dirus Sp. D)",54.12,NA,NA,"AI",42.59,57.41,"%calc","","t","","","Tun-Lin, W., Thu, M.M., Than, S.M. and Mya, M.M. (1995).  Hyperendemic malaria in a forested, hilly Myanmar village. Journal of the American Mosquito Control Association, 11(4):401-7"
"Myanmar","Anopheles minimus complex",28.77,NA,NA,"AI",55.3,44.68,"%calc","t","t","","","Tun-Lin, W., Thu, M.M., Than, S.M. and Mya, M.M. (1995).  Hyperendemic malaria in a forested, hilly Myanmar village. Journal of the American Mosquito Control Association, 11(4):401-7"
"Myanmar","Anopheles culicifacies complex",NA,NA,NA,"",38.78,61.22,"%calc","t","t","","","Tun-Lin, W., Thu, M.M., Than, S.M. and Mya, M.M. (1995).  Hyperendemic malaria in a forested, hilly Myanmar village. Journal of the American Mosquito Control Association, 11(4):401-7"
"Myanmar","Maculatus Group",NA,NA,NA,"",49.3,50.7,"%calc","t","t","","","Tun-Lin, W., Thu, M.M., Than, S.M. and Mya, M.M. (1995).  Hyperendemic malaria in a forested, hilly Myanmar village. Journal of the American Mosquito Control Association, 11(4):401-7"
"Myanmar","Anopheles annularis complex",NA,NA,NA,"",0,100,"%calc","","","","","Tun-Lin, W., Thu, M.M., Than, S.M. and Mya, M.M. (1995).  Hyperendemic malaria in a forested, hilly Myanmar village. Journal of the American Mosquito Control Association, 11(4):401-7"
"Myanmar","Anopheles aconitus",NA,NA,NA,"",30,70,"%calc","","","","","Tun-Lin, W., Thu, M.M., Than, S.M. and Mya, M.M. (1995).  Hyperendemic malaria in a forested, hilly Myanmar village. Journal of the American Mosquito Control Association, 11(4):401-7"
"Myanmar","Anopheles stephensi",NA,NA,NA,"",33.33,66.67,"%calc","","","","","Tun-Lin, W., Thu, M.M., Than, S.M. and Mya, M.M. (1995).  Hyperendemic malaria in a forested, hilly Myanmar village. Journal of the American Mosquito Control Association, 11(4):401-7"
"India","Anopheles culicifacies complex",NA,NA,NA,"",34,66,"%","t","t","t","t","Singh, N., Singh, O.P. and Sharma, V.P. (1996).  Dynamics of malaria transmission in forested and deforested regions of Mandla District, central India (Madhya Pradesh). Journal of the American Mosquito Control Association, 12(2 Pt 1):225-34"
"India","Anopheles fluviatilis complex",NA,NA,NA,"",34,66,"%","t","t","","","Singh, N., Singh, O.P. and Sharma, V.P. (1996).  Dynamics of malaria transmission in forested and deforested regions of Mandla District, central India (Madhya Pradesh). Journal of the American Mosquito Control Association, 12(2 Pt 1):225-34"
"India","Anopheles annularis complex",NA,NA,NA,"",32,68,"%","","","","","Singh, N., Singh, O.P. and Sharma, V.P. (1996).  Dynamics of malaria transmission in forested and deforested regions of Mandla District, central India (Madhya Pradesh). Journal of the American Mosquito Control Association, 12(2 Pt 1):225-34"
"India","Anopheles subpictus complex",NA,NA,NA,"",35,65,"%","","","","","Singh, N., Singh, O.P. and Sharma, V.P. (1996).  Dynamics of malaria transmission in forested and deforested regions of Mandla District, central India (Madhya Pradesh). Journal of the American Mosquito Control Association, 12(2 Pt 1):225-34"
"India","Anopheles barbirostris complex",NA,NA,NA,"",0,100,"%","","","","","Singh, N., Singh, O.P. and Sharma, V.P. (1996).  Dynamics of malaria transmission in forested and deforested regions of Mandla District, central India (Madhya Pradesh). Journal of the American Mosquito Control Association, 12(2 Pt 1):225-34"
"India","Anopheles culicifacies complex",NA,NA,NA,"",68,32,"%","t","t","","","Singh, N., Singh, O.P. and Sharma, V.P. (1996).  Dynamics of malaria transmission in forested and deforested regions of Mandla District, central India (Madhya Pradesh). Journal of the American Mosquito Control Association, 12(2 Pt 1):225-34"
"India","Anopheles fluviatilis complex",NA,NA,NA,"",53,47,"%","t","t","","","Singh, N., Singh, O.P. and Sharma, V.P. (1996).  Dynamics of malaria transmission in forested and deforested regions of Mandla District, central India (Madhya Pradesh). Journal of the American Mosquito Control Association, 12(2 Pt 1):225-34"
"India","Anopheles annularis complex",NA,NA,NA,"",36,64,"%","","","","","Singh, N., Singh, O.P. and Sharma, V.P. (1996).  Dynamics of malaria transmission in forested and deforested regions of Mandla District, central India (Madhya Pradesh). Journal of the American Mosquito Control Association, 12(2 Pt 1):225-34"
"India","Anopheles subpictus complex",NA,NA,NA,"",54,46,"%","","","","","Singh, N., Singh, O.P. and Sharma, V.P. (1996).  Dynamics of malaria transmission in forested and deforested regions of Mandla District, central India (Madhya Pradesh). Journal of the American Mosquito Control Association, 12(2 Pt 1):225-34"
"India","Anopheles barbirostris complex",NA,NA,NA,"",0,100,"%","","","","","Singh, N., Singh, O.P. and Sharma, V.P. (1996).  Dynamics of malaria transmission in forested and deforested regions of Mandla District, central India (Madhya Pradesh). Journal of the American Mosquito Control Association, 12(2 Pt 1):225-34"
"Sri Lanka","Anopheles culicifacies complex",NA,NA,NA,"",1.05,1,"I:O","","","","","Yapabandara, A.M. and Curtis, C.F. (2004).  Vectors and malaria transmission in a gem mining area in Sri Lanka. Journal of Vector Ecology, 29(2):264-76"
"Sri Lanka","Anopheles subpictus complex",NA,NA,NA,"",0.89,1,"I:O","","","","","Yapabandara, A.M. and Curtis, C.F. (2004).  Vectors and malaria transmission in a gem mining area in Sri Lanka. Journal of Vector Ecology, 29(2):264-76"
"Sri Lanka","Anopheles aconitus",NA,NA,NA,"",0.89,1,"I:O","","","","","Yapabandara, A.M. and Curtis, C.F. (2004).  Vectors and malaria transmission in a gem mining area in Sri Lanka. Journal of Vector Ecology, 29(2):264-76"
"India","Anopheles culicifacies complex",NA,NA,NA,"",100,0,"%calc","","","","","Singh, S., Singh, R.P. and Jauhari, R.K. (1995).  Biting activity of the malaria vector, Anopheles culicifacies, on man and cattle in Doon valley, India. Applied Parasitology, 36(3):185-91"
"India","Anopheles culicifacies complex",NA,NA,NA,"",55.17,44.83,"%calc","","","","","Singh, S., Singh, R.P. and Jauhari, R.K. (1995).  Biting activity of the malaria vector, Anopheles culicifacies, on man and cattle in Doon valley, India. Applied Parasitology, 36(3):185-91"
"India","Anopheles culicifacies complex",NA,NA,NA,"",51.76,48.24,"%calc","","","","","Singh, S., Singh, R.P. and Jauhari, R.K. (1995).  Biting activity of the malaria vector, Anopheles culicifacies, on man and cattle in Doon valley, India. Applied Parasitology, 36(3):185-91"
"India","Anopheles culicifacies complex",NA,NA,NA,"",58.33,41.67,"%calc","","","","","Singh, S., Singh, R.P. and Jauhari, R.K. (1995).  Biting activity of the malaria vector, Anopheles culicifacies, on man and cattle in Doon valley, India. Applied Parasitology, 36(3):185-91"
"India","Anopheles culicifacies complex",NA,NA,NA,"",60,40,"%calc","","","","","Singh, S., Singh, R.P. and Jauhari, R.K. (1995).  Biting activity of the malaria vector, Anopheles culicifacies, on man and cattle in Doon valley, India. Applied Parasitology, 36(3):185-91"
"India","Anopheles culicifacies complex",NA,NA,NA,"",76,24,"%calc","","","","","Singh, S., Singh, R.P. and Jauhari, R.K. (1995).  Biting activity of the malaria vector, Anopheles culicifacies, on man and cattle in Doon valley, India. Applied Parasitology, 36(3):185-91"
"India","Anopheles culicifacies complex",NA,NA,NA,"",50.81,49.19,"%calc","","","","","Singh, S., Singh, R.P. and Jauhari, R.K. (1995).  Biting activity of the malaria vector, Anopheles culicifacies, on man and cattle in Doon valley, India. Applied Parasitology, 36(3):185-91"
"India","Anopheles culicifacies complex",NA,NA,NA,"",56.06,43.94,"%calc","","","","","Singh, S., Singh, R.P. and Jauhari, R.K. (1995).  Biting activity of the malaria vector, Anopheles culicifacies, on man and cattle in Doon valley, India. Applied Parasitology, 36(3):185-91"
"India","Anopheles culicifacies complex",NA,NA,NA,"",54.05,45.95,"%calc","","","","","Singh, S., Singh, R.P. and Jauhari, R.K. (1995).  Biting activity of the malaria vector, Anopheles culicifacies, on man and cattle in Doon valley, India. Applied Parasitology, 36(3):185-91"
"India","Anopheles culicifacies complex",NA,NA,NA,"",50,50,"%calc","","","","","Singh, S., Singh, R.P. and Jauhari, R.K. (1995).  Biting activity of the malaria vector, Anopheles culicifacies, on man and cattle in Doon valley, India. Applied Parasitology, 36(3):185-91"
"India","Anopheles culicifacies complex",NA,NA,NA,"",100,0,"%calc","","","","","Singh, S., Singh, R.P. and Jauhari, R.K. (1995).  Biting activity of the malaria vector, Anopheles culicifacies, on man and cattle in Doon valley, India. Applied Parasitology, 36(3):185-91"
"Lao People's Democratic Republic","Anopheles dirus complex",NA,NA,NA,"",61.3,38.7,"%","","","","","Sidavong, B., Vythilingam, I., Phetsouvanh, R., Chan, S.T., Phonemixay, T., Hakim, S.L. and Phompida, S. (2004).  Malaria transmission by Anopheles dirus in Attapeu Province, Lao PDR. The Southeast Asian Journal of Tropical Medicine and Public Health, 35(2):309-15"
"Lao People's Democratic Republic","Maculatus Group",NA,NA,NA,"",28.9,71.1,"%","","","","","Sidavong, B., Vythilingam, I., Phetsouvanh, R., Chan, S.T., Phonemixay, T., Hakim, S.L. and Phompida, S. (2004).  Malaria transmission by Anopheles dirus in Attapeu Province, Lao PDR. The Southeast Asian Journal of Tropical Medicine and Public Health, 35(2):309-15"
"Lao People's Democratic Republic","Anopheles minimus complex",NA,NA,NA,"",54.3,45.7,"%","","","","","Sidavong, B., Vythilingam, I., Phetsouvanh, R., Chan, S.T., Phonemixay, T., Hakim, S.L. and Phompida, S. (2004).  Malaria transmission by Anopheles dirus in Attapeu Province, Lao PDR. The Southeast Asian Journal of Tropical Medicine and Public Health, 35(2):309-15"
"Lao People's Democratic Republic","Anopheles dirus (formerly Sp. A)",NA,NA,NA,"",60,40,"I:O","","","","","Vythilingam, I., Sidavong, B., Chan, S.T., Phonemixay, T., Vanisaveth, V., Sisoulad, P., Phetsouvanh, R., Hakim, S.L. and Phompida, S. (2005).  Epidemiology of malaria in Attapeu Province, Lao PDR in relation to entomological parameters. Transactions of the Royal Society of Tropical Medicine and Hygiene, 99(11):833-9"
"Lao People's Democratic Republic","Anopheles minimus complex",NA,NA,NA,"",50,50,"I:O","","","","","Vythilingam, I., Sidavong, B., Chan, S.T., Phonemixay, T., Vanisaveth, V., Sisoulad, P., Phetsouvanh, R., Hakim, S.L. and Phompida, S. (2005).  Epidemiology of malaria in Attapeu Province, Lao PDR in relation to entomological parameters. Transactions of the Royal Society of Tropical Medicine and Hygiene, 99(11):833-9"
"Lao People's Democratic Republic","Anopheles dirus (formerly Sp. A)",NA,NA,NA,"",52.8,47.2,"%","","","","","Vythilingam, I., Phetsouvanh, R., Keokenchanh, K., Yengmala, V., Vanisaveth, V., Phompida, S. and Hakim, S.L. (2003).  The prevalence of Anopheles (Diptera: Culicidae) mosquitoes in Sekong Province, Lao PDR in relation to malaria transmission. Tropical Medicine & International Health, 8(6):525-35"
"Lao People's Democratic Republic","Maculatus Group",NA,NA,NA,"",20,80,"%","","","","","Vythilingam, I., Phetsouvanh, R., Keokenchanh, K., Yengmala, V., Vanisaveth, V., Phompida, S. and Hakim, S.L. (2003).  The prevalence of Anopheles (Diptera: Culicidae) mosquitoes in Sekong Province, Lao PDR in relation to malaria transmission. Tropical Medicine & International Health, 8(6):525-35"
"Lao People's Democratic Republic","Anopheles aconitus",NA,NA,NA,"",32,68,"%","","","","","Vythilingam, I., Phetsouvanh, R., Keokenchanh, K., Yengmala, V., Vanisaveth, V., Phompida, S. and Hakim, S.L. (2003).  The prevalence of Anopheles (Diptera: Culicidae) mosquitoes in Sekong Province, Lao PDR in relation to malaria transmission. Tropical Medicine & International Health, 8(6):525-35"
"Lao People's Democratic Republic","Anopheles minimus (formerly Sp. A)",NA,NA,NA,"",35,65,"%","","","","","Vythilingam, I., Phetsouvanh, R., Keokenchanh, K., Yengmala, V., Vanisaveth, V., Phompida, S. and Hakim, S.L. (2003).  The prevalence of Anopheles (Diptera: Culicidae) mosquitoes in Sekong Province, Lao PDR in relation to malaria transmission. Tropical Medicine & International Health, 8(6):525-35"
